Goroka Airport,GKA,AYGA
Ponta Porã Airport,PMG,SBPP
Governador Jorge Teixeira de Oliveira Airport,PVH,SBPV
Plácido de Castro Airport,RBR,SBRB
Guararapes - Gilberto Freyre International Airport,REC,SBRF
Santos Dumont Airport,SDU,SBRJ
Leite Lopes Airport,RAO,SBRP
Santa Cruz Air Force Base,SNZ,SBSC
Professor Urbano Ernesto Stumpf Airport,SJK,SBSJ
Marechal Cunha Machado International Airport,SLZ,SBSL
Congonhas Airport,CGH,SBSP
Prof. Eribelto Manoel Reino State Airport,SJP,SBSR
Base Aérea de Santos Airport,SSZ,SBST
Deputado Luiz Eduardo Magalhães International Airport,SSA,SBSV
Trombetas Airport,TMT,SBTB
Senador Petrônio Portela Airport,THE,SBTE
Tefé Airport,TFF,SBTF
Tarauacá Airport,TRQ,SBTK
Telêmaco Borba Airport,TEC,SBTL
Tiriós Airport,\N,SBTS
Tabatinga Airport,TBT,SBTT
Tucuruí Airport,TUR,SBTU
São Gabriel da Cachoeira Airport,SJL,SBUA
Paulo Afonso Airport,PAV,SBUF
Rubem Berta Airport,URG,SBUG
Ten. Cel. Aviador César Bombonato Airport,UDI,SBUL
Mário de Almeida Franco Airport,UBA,SBUR
Major Brigadeiro Trompowsky Airport,VAG,SBVG
Brigadeiro Camarão Airport,BVH,SBVH
Eurico de Aguiar Salles Airport,VIX,SBVT
Iauaretê Airport,\N,SBYA
Campo Fontenelle Airport,QPS,SBYS
Chacalluta Airport,ARI,SCAR
Balmaceda Airport,BBA,SCBA
El Bosque Airport,\N,SCBQ
Chile Chico Airport,CCH,SCCC
El Loa Airport,CJC,SCCF
Gral. Bernardo O´Higgins Airport,YAI,SCCH
Pdte. Carlos Ibañez del Campo Airport,PUQ,SCCI
Teniente Vidal Airport,GXQ,SCCY
Diego Aracena Airport,IQQ,SCDA
Comodoro Arturo Merino Benítez International Airport,SCL,SCEL
Andrés Sabella Gálvez International Airport,ANF,SCFA
Capitan Fuentes Martinez Airport Airport,WPR,SCFM
Futaleufú Airport,FFU,SCFT
María Dolores Airport,LSQ,SCGE
Guardiamarina Zañartu Airport,WPU,SCGZ
Carriel Sur Airport,CCP,SCIE
Mataveri Airport,IPC,SCIP
Cañal Bajo Carlos - Hott Siebert Airport,ZOS,SCJO
Vallenar Airport,VLR,SCLL
De La Independencia Airport,QRC,SCRG
Teniente Rodolfo Marsh Martin Base,TNM,SCRM
La Florida Airport,LSC,SCSE
Eulogio Sánchez Airport,\N,SCTB
Maquehue Airport,PZS,SCTC
El Tepual Airport,PMC,SCTE
Chaitén Airport,WCH,SCTN
Pichoy Airport,ZAL,SCVD
Chachoán Airport,ATF,SEAM
Hacienda Clementina Airport,\N,SECM
Francisco De Orellana Airport,OCC,SECO
Mariscal Lamar Airport,CUE,SECU
Seymour Airport,GPS,SEGS
José Joaquín de Olmedo International Airport,GYE,SEGU
Gualaquiza Airport,\N,SEGZ
Atahualpa Airport,\N,SEIB
Km 192 Airport,\N,SEKK
Hacienda La Julia Airport,\N,SELJ
Cotopaxi International Airport,LTX,SELT
Jose Maria Velasco Ibarra Airport,MRR,SEMA
Coronel E Carvajal Airport,XMS,SEMC
General Manuel Serrano Airport,MCH,SEMH
El Carmen Airport,\N,SEMO
Eloy Alfaro International Airport,MEC,SEMT
Maragrosa Airport,\N,SEMX
Amable Calle Gutierrez Airport,\N,SEPS
Reales Tamarindos Airport,PVO,SEPV
Quevedo Airport,\N,SEQE
Mariscal Sucre International Airport,UIO,SEQM
Chimborazo Airport,\N,SERB
Santa Rosa International Airport,ETR,SERO
General Ulpiano Paez Airport,SNC,SESA
Santo Domingo de Los Colorados Airport,\N,SESD
Taura Airport,\N,SETA
Mayor Galo Torres Airport,\N,SETE
Tarapoa Airport,TPC,SETR
Teniente Coronel Luis a Mantilla Airport,TUA,SETU
Silvio Pettirossi International Airport,ASU,SGAS
Juan De Ayolas Airport,AYO,SGAY
Teniente Col Carmelo Peralta Airport,CIO,SGCO
Itaipú Airport,\N,SGIB
Dr. Luis Maria Argaña International Airport,ESG,SGME
Carlos Miguel Gimenez Airport,PIL,SGPI
El Eden Airport,AXM,SKAR
Tres De Mayo Airport,PUU,SKAS
Las Flores Airport,ELB,SKBC
Palonegro Airport,BGA,SKBG
El Dorado International Airport,BOG,SKBO
Ernesto Cortissoz International Airport,BAQ,SKBQ
José Celestino Mutis Airport,BSC,SKBS
Gerardo Tobar López Airport,BUN,SKBU
Camilo Daza International Airport,CUC,SKCC
Rafael Nuñez International Airport,CTG,SKCG
Alfonso Bonilla Aragon International Airport,CLO,SKCL
La Florida Airport,TCO,SKCO
Las Brujas Airport,CZU,SKCZ
Yariguíes Airport,EJA,SKEJ
Gustavo Artunduaga Paredes Airport,FLA,SKFL
Santiago Vila Airport,GIR,SKGI
Juan Casiano Airport,GPI,SKGP
Guaymaral Airport,\N,SKGY
Perales Airport,IBE,SKIB
San Luis Airport,IPI,SKIP
Antonio Roldan Betancourt Airport,APO,SKLC
Jorge Isaac Airport,MCJ,SKLM
Alfredo Vásquez Cobo International Airport,LET,SKLT
Enrique Olaya Herrera Airport,EOH,SKMD
Baracoa Airport,MGN,SKMG
Los Garzones Airport,MTR,SKMR
Fabio Alberto Leon Bentley Airport,MVP,SKMU
La Nubia Airport,MZL,SKMZ
Benito Salas Airport,NVA,SKNV
Aguas Claras Airport,OCV,SKOC
Otu Airport,OTU,SKOT
Puerto Bolívar Airport,\N,SKPB
German Olano Airport,PCR,SKPC
Matecaña International Airport,PEI,SKPE
Pitalito Airport,PTX,SKPI
Guillermo León Valencia Airport,PPN,SKPP
Antonio Narino Airport,PSO,SKPS
El Embrujo Airport,PVA,SKPV
Mariquita Airport,MQU,SKQU
Jose Maria Córdova International Airport,MDE,SKRG
Almirante Padilla Airport,RCH,SKRH
Jorge E. Gonzalez Torres Airport,SJE,SKSJ
Simón Bolívar International Airport,SMR,SKSM
Gustavo Rojas Pinilla International Airport,ADZ,SKSP
Eduardo Falla Solano Airport,SVI,SKSV
Gustavo Vargas Airport,TME,SKTM
Santiago Perez Airport,AUC,SKUC
El Caraño Airport,UIB,SKUI
Heriberto Gíl Martínez Airport,ULQ,SKUL
Alfonso López Pumarejo Airport,VUP,SKVP
Vanguardia Airport,VVC,SKVV
Bermejo Airport,BJO,SLBJ
Jorge Wilsterman International Airport,CBB,SLCB
Chimore Airport,CCA,SLCH
Capitán Aníbal Arab Airport,CIJ,SLCO
El Alto International Airport,LPB,SLLP
Juan Mendoza Airport,ORU,SLOR
Capitan Nicolas Rojas Airport,POI,SLPO
Capitán Av. Salvador Ogaya G. airport,PSZ,SLPS
Santa Ana Del Yacuma Airport,SBL,SLSA
Juana Azurduy De Padilla Airport,SRE,SLSU
Capitan Oriel Lea Plaza Airport,TJA,SLTJ
Teniente Av. Jorge Henrich Arauz Airport,TDD,SLTR
Teniente Coronel Rafael Pabón Airport,VLM,SLVM
Viru Viru International Airport,VVI,SLVR
Yacuiba Airport,BYC,SLYA
Johan Adolf Pengel International Airport,PBM,SMJP
Cayenne-Rochambeau Airport,CAY,SOCA
Saint-Georges-de-l'Oyapock Airport,OYP,SOOG
Huancabamba Airport,\N,SPAB
Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP,SPAS
Teniente General Gerardo Pérez Pinedo Airport,\N,SPAY
Iberia Airport,IBP,SPBR
Cap FAP David Abenzur Rengifo International Airport,PCL,SPCL
Teniente FAP Jaime A De Montreuil Morales Airport,CHM,SPEO
Puerto Esperanza Airport,\N,SPEP
Cesar Torke Podesta Airport,\N,SPEQ
Capitan FAP Jose A Quinones Gonzales International Airport,CIX,SPHI
Coronel FAP Alfredo Mendivil Duarte Airport,AYP,SPHO
Andahuaylas Airport,ANS,SPHY
Comandante FAP German Arias Graziani Airport,ATA,SPHZ
Jorge Chávez International Airport,LIM,SPIM
Juanjui Airport,JJI,SPJI
Francisco Carle Airport,JAU,SPJJ
Inca Manco Capac International Airport,JUL,SPJL
Ilo Airport,ILQ,SPLO
Las Palmas Air Base,\N,SPLP
Capitan FAP Pedro Canga Rodriguez Airport,TBP,SPME
Moises Benzaquen Rengifo Airport,YMS,SPMS
Collique Airport,\N,SPOL
Chachapoyas Airport,CHH,SPPY
Coronel FAP Francisco Secada Vignetta International Airport,IQT,SPQT
Rodríguez Ballón International Airport,AQP,SPQU
Capitán FAP Leonardo Alvariño Herr Airport,\N,SPRM
Capitan FAP Carlos Martinez De Pinillos International Airport,TRU,SPRU
Capitán FAP Renán Elías Olivera International Airport,PIO,SPSO
Cadete FAP Guillermo Del Castillo Paredes Airport,TPP,SPST
Coronel FAP Carlos Ciriani Santa Rosa International Airport,TCQ,SPTN
Padre Aldamiz International Airport,PEM,SPTU
Capitán FAP Guillermo Concha Iberico International Airport,PIU,SPUR
Capitan Montes Airport,TYL,SPYL
Alejandro Velasco Astete International Airport,CUZ,SPZO
Angel S Adami Airport,\N,SUAA
Santa Bernardina International Airport,DZO,SUDU
Carrasco International /General C L Berisso Airport,MVD,SUMU
Nueva Hesperides International Airport,STY,SUSO
Oswaldo Guevara Mujica Airport,AGV,SVAC
Anaco Airport,AAO,SVAN
San Fernando de Atabapo Airport,\N,SVAT
General José Antonio Anzoategui International Airport,BLA,SVBC
Barinas Airport,BNS,SVBI
El Libertador Airbase,\N,SVBL
Barquisimeto International Airport,BRM,SVBM
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",CBL,SVCB
Caicara del Orinoco Airport,CXA,SVCD
San Carlos Airport,\N,SVCJ
Calabozo Airport,CLZ,SVCL
Canaima Airport,CAJ,SVCN
Carora Airport,VCR,SVCO
General Francisco Bermúdez Airport,CUP,SVCP
José Leonardo Chirinos Airport,CZE,SVCR
Oscar Machado Zuluaga Airport,\N,SVCS
Cumaná (Antonio José de Sucre) Airport,CUM,SVCU
Capitán Manuel Ríos Airbase,\N,SVCZ
El Dorado Airport,EOR,SVED
Elorza Airport,EOZ,SVEZ
Guasdalito Airport,GDO,SVGD
Guiria Airport,GUI,SVGI
Guanare Airport,GUQ,SVGU
Higuerote Airport,HGE,SVHG
Andrés Miguel Salazar Marcano Airport,ICC,SVIE
Josefa Camejo International Airport,LSP,SVJC
San Juan de Los Morros Airport,\N,SVJM
La Fria Airport,LFR,SVLF
La Orchila Airport,\N,SVLO
La Chinita International Airport,MAR,SVMC
Alberto Carnevalli Airport,MRD,SVMD
Del Caribe Santiago Mariño International Airport,PMV,SVMG
Simón Bolívar International Airport,CCS,SVMI
Maturín Airport,MUN,SVMT
Cacique Aramare Airport,PYH,SVPA
General Bartolome Salom International Airport,PBL,SVPC
Paramillo Airport,SCI,SVPM
General Manuel Carlos Piar International Airport,PZO,SVPR
Palmarito Airport,PTM,SVPT
San Antonio Del Tachira Airport,SVZ,SVSA
Santa Bárbara de Barinas Airport,SBB,SVSB
Santa Elena de Uairen Airport,SNV,SVSE
Mayor Buenaventura Vivas International Airport,STD,SVSO
Sub Teniente Nestor Arias Airport,SNF,SVSP
San Fernando De Apure Airport,SFD,SVSR
San Tomé Airport,SOM,SVST
Santa Bárbara del Zulia Airport,STB,SVSZ
Tucupita Airport,TUV,SVTC
Tumeremo Airport,TMO,SVTM
Arturo Michelena International Airport,VLN,SVVA
Dr. Antonio Nicolás Briceño Airport,VLV,SVVL
Valle de La Pascua Airport,VDP,SVVP
Linden Airport,\N,SYLD
Lethem Airport,LTM,SYLT
V.C. Bird International Airport,ANU,TAPA
Sir Grantley Adams International Airport,BGI,TBPB
Canefield Airport,DCF,TDCF
Douglas-Charles Airport,DOM,TDPD
Martinique Aimé Césaire International Airport,FDF,TFFF
L'Espérance Airport,SFG,TFFG
Pointe-à-Pitre Le Raizet,PTP,TFFR
Point Salines International Airport,GND,TGPY
Cyril E. King Airport,STT,TIST
Henry E Rohlsen Airport,STX,TISX
Rafael Hernandez Airport,BQN,TJBQ
Diego Jimenez Torres Airport,FAJ,TJFA
Fernando Luis Ribas Dominicci Airport,SIG,TJIG
Eugenio Maria De Hostos Airport,MAZ,TJMZ
Mercedita Airport,PSE,TJPS
Luis Munoz Marin International Airport,SJU,TJSJ
Robert L. Bradshaw International Airport,SKB,TKPK
George F. L. Charles Airport,SLU,TLPC
Hewanorra International Airport,UVF,TLPL
Queen Beatrix International Airport,AUA,TNCA
Flamingo International Airport,BON,TNCB
Hato International Airport,CUR,TNCC
F. D. Roosevelt Airport,EUX,TNCE
Princess Juliana International Airport,SXM,TNCM
Clayton J Lloyd International Airport,AXA,TQPF
Tobago-Crown Point Airport,TAB,TTCP
Piarco International Airport,POS,TTPP
Terrance B. Lettsome International Airport,EIS,TUPJ
Canouan Airport,CIW,TVSC
Mustique Airport,MQS,TVSM
Argyle International Airport,SVD,TVSA
Almaty Airport,ALA,UAAA
Balkhash Airport,BXH,UAAH
Astana International Airport,TSE,UACC
Taraz Airport,DMB,UADD
Manas International Airport,FRU,UAFM
Osh Airport,OSS,UAFO
Shymkent Airport,CIT,UAII
Uralsk Airport,URA,UARR
Pavlodar Airport,PWQ,UASP
Semipalatinsk Airport,PLX,UASS
Aktobe Airport,AKX,UATT
Heydar Aliyev International Airport,GYD,UBBB
Yakutsk Airport,YKS,UEEE
Mirny Airport,MJZ,UERR
Ignatyevo Airport,BQS,UHBB
Khabarovsk-Novy Airport,KHV,UHHH
Provideniya Bay Airport,PVS,UHMD
Sokol Airport,GDX,UHMM
Pevek Airport,PWE,UHMP
Yelizovo Airport,PKC,UHPP
Yuzhno-Sakhalinsk Airport,UUS,UHSS
Vladivostok International Airport,VVO,UHWW
Chita-Kadala Airport,HTA,UIAA
Bratsk Airport,BTK,UIBB
Irkutsk Airport,IKT,UIII
Ulan-Ude Airport (Mukhino),UUD,UIUU
Boryspil International Airport,KBP,UKBB
Donetsk International Airport,DOK,UKCC
Dnipropetrovsk International Airport,DNK,UKDD
Simferopol International Airport,SIP,UKFF
Kiev Zhuliany International Airport,IEV,UKKK
Lviv International Airport,LWO,UKLL
Odessa International Airport,ODS,UKOO
Pulkovo Airport,LED,ULLI
Murmansk Airport,MMK,ULMM
Gomel Airport,GME,UMGG
Vitebsk Vostochny Airport,VTB,UMII
Khrabrovo Airport,KGD,UMKK
Minsk 1 Airport,MHP,UMMM
Minsk National Airport,MSQ,UMMS
Abakan Airport,ABA,UNAA
Barnaul Airport,BAX,UNBB
Kemerovo Airport,KEJ,UNEE
Omsk Central Airport,OMS,UNOO
Krasnodar Pashkovsky International Airport,KRR,URKK
Uytash Airport,MCX,URML
Mineralnyye Vody Airport,MRV,URMM
Stavropol Shpakovskoye Airport,STW,URMT
Platov International Airport,ROV,URRP
Sochi International Airport,AER,URSS
Astrakhan Airport,ASF,URWA
Volgograd International Airport,VOG,URWW
Chelyabinsk Balandino Airport,CEK,USCC
Magnitogorsk International Airport,MQF,USCM
Nizhnevartovsk Airport,NJC,USNN
Bolshoye Savino Airport,PEE,USPP
Surgut Airport,SGC,USRR
Koltsovo Airport,SVX,USSS
Ashgabat International Airport,ASB,UTAA
Turkmenbashi Airport,KRW,UTAK
Turkmenabat Airport,CRZ,UTAV
Dushanbe Airport,DYU,UTDD
Bukhara Airport,BHK,UTSB
Samarkand Airport,SKD,UTSS
Tashkent International Airport,TAS,UTTT
Bryansk Airport,BZK,UUBP
Sheremetyevo International Airport,SVO,UUEE
Migalovo Air Base,KLD,UUEM
Voronezh International Airport,VOZ,UUOO
Vnukovo International Airport,VKO,UUWW
Syktyvkar Airport,SCW,UUYY
Kazan International Airport,KZN,UWKD
Orenburg Central Airport,REN,UWOO
Ufa International Airport,UFA,UWUU
Kurumoch International Airport,KUF,UWWW
Sardar Vallabhbhai Patel International Airport,AMD,VAAH
Akola Airport,AKD,VAAK
Aurangabad Airport,IXU,VAAU
Chhatrapati Shivaji International Airport,BOM,VABB
Bilaspur Airport,PAB,VABI
Bhuj Airport,BHJ,VABJ
Belgaum Airport,IXG,VABM
Vadodara Airport,BDQ,VABO
Raja Bhoj International Airport,BHO,VABP
Bhavnagar Airport,BHU,VABV
Daman Airport,NMB,VADN
Deesa Airport,\N,VADS
Guna Airport,GUX,VAGN
Dabolim Airport,GOI,VAGO
Devi Ahilyabai Holkar Airport,IDR,VAID
Jabalpur Airport,JLR,VAJB
Jamnagar Airport,JGA,VAJM
Kandla Airport,IXY,VAKE
Khajuraho Airport,HJR,VAKJ
Kolhapur Airport,KLH,VAKP
Keshod Airport,IXK,VAKS
Dr. Babasaheb Ambedkar International Airport,NAG,VANP
Nashik Airport,ISK,VAOZ
Pune Airport,PNQ,VAPO
Porbandar Airport,PBD,VAPR
Rajkot Airport,RAJ,VARK
Raipur Airport,RPR,VARP
Solapur Airport,SSE,VASL
Surat Airport,STV,VASU
Maharana Pratap Airport,UDR,VAUD
Bandaranaike International Colombo Airport,CMB,VCBI
Anuradhapura Air Force Base,ACJ,VCCA
Batticaloa Airport,BTC,VCCB
Colombo Ratmalana Airport,RML,VCCC
Ampara Airport,ADP,VCCG
Kankesanturai Airport,JAF,VCCJ
China Bay Airport,TRR,VCCT
Kampong Chhnang Airport,KZC,VDKH
Phnom Penh International Airport,PNH,VDPP
Siem Reap International Airport,REP,VDSR
Stung Treng Airport,TNX,VDST
Along Airport,IXV,VEAN
Agartala Airport,IXA,VEAT
Lengpui Airport,AJL,VELP
Bagdogra Airport,IXB,VEBD
Bokaro Airport,\N,VEBK
Biju Patnaik Airport,BBI,VEBS
Netaji Subhash Chandra Bose International Airport,CCU,VECC
Cooch Behar Airport,COH,VECO
Dhanbad Airport,DBD,VEDB
Gaya Airport,GAY,VEGY
Hirakud Airport,\N,VEHK
Imphal Airport,IMF,VEIM
Jharsuguda Airport,\N,VEJH
Sonari Airport,IXW,VEJS
Jorhat Airport,JRH,VEJT
Kailashahar Airport,IXH,VEKR
Silchar Airport,IXS,VEKU
North Lakhimpur Airport,IXI,VELR
Dibrugarh Airport,DIB,VEMN
Muzaffarpur Airport,MZU,VEMZ
Nawapara Airport,\N,VENP
Panagarh Air Force Station,\N,VEPH
Lok Nayak Jayaprakash Airport,PAT,VEPT
Purnea Airport,\N,VEPU
Birsa Munda Airport,IXR,VERC
Rourkela Airport,RRK,VERK
Utkela Airport,\N,VEUK
Vishakhapatnam Airport,VTZ,VEVZ
Ziro Airport,ZER,VEZO
Cox's Bazar Airport,CXB,VGCB
Shah Amanat International Airport,CGP,VGEG
Ishurdi Airport,IRD,VGIS
Jessore Airport,JSR,VGJR
Shah Mokhdum Airport,RJH,VGRJ
Saidpur Airport,SPD,VGSD
Osmany International Airport,ZYL,VGSY
Tejgaon Airport,\N,VGTJ
Hazrat Shahjalal International Airport,DAC,VGZR
Hong Kong International Airport,HKG,VHHH
Shek Kong Air Base,\N,VHSK
Agra Airport,AGR,VIAG
Allahabad Airport,IXD,VIAL
Sri Guru Ram Dass Jee International Airport,ATQ,VIAR
Nal Airport,BKB,VIBK
Bakshi Ka Talab Air Force Station,\N,VIBL
Lal Bahadur Shastri Airport,VNS,VIBN
Kullu Manali Airport,KUU,VIBR
Bhatinda Air Force Station,BUP,VIBT
Bhiwani Airport,\N,VIBW
Bareilly Air Force Station,BEK,VIBY
Chandigarh Airport,IXC,VICG
Kanpur Airport,KNU,VICX
Safdarjung Airport,\N,VIDD
Dehradun Airport,DED,VIDN
Indira Gandhi International Airport,DEL,VIDP
Gwalior Airport,GWL,VIGR
Hissar Airport,HSS,VIHR
Jhansi Airport,\N,VIJN
Jodhpur Airport,JDH,VIJO
Jaipur International Airport,JAI,VIJP
Jaisalmer Airport,JSA,VIJR
Jammu Airport,IXJ,VIJU
Kanpur Civil Airport,\N,VIKA
Kota Airport,KTU,VIKO
Ludhiana Airport,LUH,VILD
Leh Kushok Bakula Rimpochee Airport,IXL,VILH
Chaudhary Charan Singh International Airport,LKO,VILK
Pathankot Airport,IXP,VIPK
Patiala Airport,\N,VIPL
Pantnagar Airport,PGH,VIPT
Fursatganj Airport,\N,VIRB
Sarsawa Air Force Station,\N,VISP
Sheikh ul Alam Airport,SXR,VISR
Satna Airport,TNI,VIST
Luang Phabang International Airport,LPQ,VLLB
Pakse International Airport,PKZ,VLPS
Phonesavanh Airport,\N,VLPV
Savannakhet Airport,ZVK,VLSK
Sam Neua Airport,NEU,VLSN
Wattay International Airport,VTE,VLVT
Macau International Airport,MFM,VMMC
Gautam Buddha Airport,BWA,VNBW
Janakpur Airport,JKR,VNJP
Tribhuvan International Airport,KTM,VNKT
Pokhara Airport,PKR,VNPK
Simara Airport,SIF,VNSI
Biratnagar Airport,BIR,VNVT
Agatti Airport,AGX,VOAT
Kempegowda International Airport,BLR,VOBL
Bellary Airport,BEP,VOBI
Bidar Air Force Station,\N,VOBR
Vijayawada Airport,VGA,VOBZ
Coimbatore International Airport,CJB,VOCB
Cochin International Airport,COK,VOCI
Calicut International Airport,CCJ,VOCL
Kadapa Airport,CDP,VOCP
Car Nicobar Air Force Station,CBD,VOCX
Dundigul Air Force Academy,\N,VODG
Begumpet Airport,BPM,VOHY
Madurai Airport,IXM,VOMD
Mangalore International Airport,IXE,VOML
Chennai International Airport,MAA,VOMM
Nagarjuna Sagar Airport,\N,VONS
Vir Savarkar International Airport,IXZ,VOPB
Pondicherry Airport,PNY,VOPC
Rajahmundry Airport,RJA,VORY
Salem Airport,SXV,VOSM
Tanjore Air Force Base,TJV,VOTJ
Tirupati Airport,TIR,VOTP
Tiruchirapally Civil Airport Airport,TRZ,VOTR
Trivandrum International Airport,TRV,VOTV
Tambaram Air Force Station,\N,VOTX
Paro Airport,PBH,VQPR
Malé International Airport,MLE,VRMM
Don Mueang International Airport,DMK,VTBD
Kamphaeng Saen Airport,KDT,VTBK
Khok Kathiam Airport,\N,VTBL
U-Tapao International Airport,UTP,VTBU
Watthana Nakhon Airport,\N,VTBW
Lampang Airport,LPT,VTCL
Phrae Airport,PRH,VTCP
Hua Hin Airport,HHQ,VTPH
Takhli Airport,TKH,VTPI
Sak Long Airport,\N,VTPL
Nakhon Sawan Airport,\N,VTPN
Phitsanulok Airport,PHS,VTPP
Khunan Phumipol Airport,\N,VTPY
Khoun Khan Airport,\N,VTSA
Narathiwat Airport,NAW,VTSC
Krabi Airport,KBV,VTSG
Songkhla Airport,SGZ,VTSH
Pattani Airport,PAN,VTSK
Samui Airport,USM,VTSM
Cha Eian Airport,\N,VTSN
Phuket International Airport,HKT,VTSP
Ranong Airport,UNN,VTSR
Hat Yai International Airport,HDY,VTSS
Trang Airport,TST,VTST
Udon Thani Airport,UTH,VTUD
Sakon Nakhon Airport,SNO,VTUI
Surin Airport,PXR,VTUJ
Loei Airport,LOE,VTUL
Khorat Airport,\N,VTUN
Rob Muang Airport,\N,VTUR
Da Nang International Airport,DAD,VVDN
Gia Lam Air Base,\N,VVGL
Kep Air Base,\N,VVKP
Noi Bai International Airport,HAN,VVNB
Nha Trang Air Base,NHA,VVNT
Phu Bai Airport,HUI,VVPB
Phu Quoc International Airport,PQC,VVPQ
Tan Son Nhat International Airport,SGN,VVTS
Ann Airport,VBA,VYAN
Anisakan Airport,\N,VYAS
Bagan Airport,NYU,VYBG
Coco Island Airport,\N,VYCI
Heho Airport,HEH,VYHH
Hommalinn Airport,HOX,VYHL
Kengtung Airport,KET,VYKG
Kyaukpyu Airport,KYP,VYKP
Lashio Airport,LSH,VYLS
Lanywa Airport,\N,VYLY
Mandalay International Airport,MDL,VYMD
Myeik Airport,MGZ,VYME
Myitkyina Airport,MYT,VYMK
Momeik Airport,MOE,VYMO
Mong Hsat Airport,MOG,VYMS
Nampong Air Base,\N,VYNP
Namsang Airport,NMS,VYNS
Hpa-N Airport,PAA,VYPA
Putao Airport,PBU,VYPT
Pyay Airport,PRU,VYPY
Shante Air Base,\N,VYST
Sittwe Airport,AKY,VYSW
Thandwe Airport,SNW,VYTD
Tachileik Airport,THL,VYTL
Taungoo Airport,\N,VYTO
Yangon International Airport,RGN,VYYY
Hasanuddin International Airport,UPG,WAAA
Frans Kaisiepo Airport,BIK,WABB
Nabire Airport,NBX,WABI
Moses Kilangin Airport,TIM,WABP
Sentani International Airport,DJJ,WAJJ
Wamena Airport,WMX,WAJW
Mopah Airport,MKQ,WAKK
Jalaluddin Airport,GTO,WAMG
Mutiara Airport,PLW,WAML
Sam Ratulangi Airport,MDC,WAMM
Kasiguncu Airport,PSJ,WAMP
Pitu Airport,OTI,WAMR
Sultan Khairun Babullah Airport,TTE,WAMT
Syukuran Aminuddin Amir Airport,LUW,WAMW
"Pattimura Airport, Ambon",AMQ,WAPP
Fakfak Airport,FKQ,WASF
Kaimana Airport,KNG,WASK
Babo Airport,BXB,WASO
Rendani Airport,MKW,WASR
Dominique Edward Osok Airport,SOQ,WAXX
Bintulu Airport,BTU,WBGB
Kuching International Airport,KCH,WBGG
Limbang Airport,LMN,WBGJ
Marudi Airport,MUR,WBGM
Miri Airport,MYY,WBGR
Sibu Airport,SBW,WBGS
Lahad Datu Airport,LDU,WBKD
Kota Kinabalu International Airport,BKI,WBKK
Labuan Airport,LBU,WBKL
Tawau Airport,TWU,WBKW
Brunei International Airport,BWN,WBSB
Sultan Syarif Kasim Ii (Simpang Tiga) Airport,PKU,WIBB
Pinang Kampai Airport,DUM,WIBD
Soekarno-Hatta International Airport,CGK,WIII
Binaka Airport,GNS,WIMB
Aek Godang Airport,AEG,WIME
Minangkabau International Airport,PDG,WIPT
Soewondo Air Force Base,MES,WIMK
Dr Ferdinand Lumban Tobing Airport,FLZ,WIMS
Nanga Pinoh Airport,NPO,WIOG
Ketapang(Rahadi Usman) Airport,KTG,WIOK
Supadio Airport,PNK,WIOO
Sultan Thaha Airport,DJB,WIPA
Fatmawati Soekarno Airport,BKS,WIPL
Sultan Mahmud Badaruddin II Airport,PLM,WIPP
Japura Airport,RGT,WIPR
Lhok Sukon Airport,LSX,WITL
Sultan Iskandar Muda International Airport,BTJ,WITT
Kluang Airport,\N,WMAP
Sultan Abdul Halim Airport,AOR,WMKA
Butterworth Airport,BWH,WMKB
